hts8,weighted_avg_tariff
2075200,0.00000000
2075300,0.00000000
2075400,0.00000000
2075500,0.00000000
2076010,0.00000000
2076020,0.00000000
2076030,0.00000000
2076040,0.00000000
2076060,0.00000000
2081000,0.02137020
2083000,0.02137020
2084001,0.02137020
2085000,0.02137020
2086000,0.02137020
2089020,0.00000000
2089025,0.00000015
2089030,0.00000000
2089091,0.02137020
2091000,0.00620326
2099000,0.00620326
2101100,0.00000000
2101200,0.00000000
2101900,0.00000000
2102000,0.00000044
2109100,0.00445868
2109201,0.00445868
2109300,0.00445868
2109920,0.00445868
2109991,0.00445868
3011100,0.00000000
3011900,0.00000000
3019100,0.00000000
3019200,0.00000000
3019302,0.00000000
3019401,0.00000000
3019500,0.00000000
3019903,0.00000000
3021100,0.00000000
3021300,0.00000000
3021400,0.00000000
3021900,0.00000000
3022100,0.00000000
3022200,0.00000000
3022300,0.00000000
3022400,0.00000000
3022901,0.00000000
3023100,0.00000000
3023200,0.00000000
3023300,0.00000000
3023400,0.00000000
3023501,0.00000000
3023600,0.00000000
3023902,0.00000000
3024100,0.00000000
3024200,0.00000000
3024300,0.00000000
3024400,0.00000000
3024511,0.00581565
3024550,0.00000000
3024611,0.00581565
3024650,0.00000000
3024700,0.00000000
3024900,0.00000000
3025100,0.00000000
3025200,0.00000000
3025300,0.00000000
3025411,0.00581565
3025450,0.00000000
3025511,0.00581565
3025550,0.00000000
3025611,0.00581565
3025650,0.00000000
3025911,0.00581565
3025950,0.00000000
3027111,0.00581565
3027150,0.00000000
3027211,0.00581565
3027250,0.00000000
3027311,0.00581565
3027350,0.00000000
3027400,0.00000000
3027911,0.00581565
3027950,0.00000000
3028100,0.00000000
3028200,0.00000000
3028300,0.00000000
3028411,0.00581565
3028450,0.00000000
3028511,0.00581565
3028550,0.00000000
3028911,0.00581565
3028950,0.00000000
3029120,0.03202658
3029140,0.00000000
3029200,0.00000000
3029900,0.00000000
3031100,0.00000000
3031200,0.00000000
3031300,0.00000000
3031400,0.00000000
3031901,0.00000000
3032300,0.00000000
3032400,0.00000000
3032501,0.00000000
3032600,0.00000000
3032901,0.00000000
3033100,0.00000000
3033200,0.00000000
3033300,0.00000000
3033400,0.00000000
3033901,0.00000000
3034100,0.00000000
3034200,0.00000000
3034300,0.00000000
3034400,0.00000000
3034501,0.00000000
3034600,0.00000000
3034902,0.00000000
3035100,0.00000000
3035300,0.00000000
3035400,0.00000000
3035500,0.00000000
3035600,0.00000000
3035700,0.00000000
3035900,0.00000000
3036300,0.00000000
3036400,0.00000000
3036500,0.00000000
3036600,0.00000000
3036700,0.00000000
3036800,0.00000000
3036900,0.00000000
3038100,0.00000000
3038200,0.00000000
3038300,0.00000000
3038400,0.00000000
3038900,0.00000000
3039120,0.03202658
3039140,0.00000000
3039200,0.00000000
3039900,0.00000000
3043100,0.00000000
3043200,0.00000000
3043300,0.00000000
3043900,0.00000000
3044100,0.00000000
3044200,0.00000000
3044300,0.00000000
3044400,0.00000000
3044500,0.00000000
3044600,0.00000000
3044700,0.00000000
3044800,0.00000000
3044901,0.00000000
3045101,0.00000000
3045200,0.00000000
3045300,0.00000000
3045400,0.00000000
3045500,0.00000000
3045600,0.00000000
3045700,0.00000000
3045900,0.00000000
3046100,0.00000000
3046200,0.00000000
3046300,0.00000000
3046900,0.00000000
3047110,0.00000000
3047150,0.00000000
3047210,0.00000000
3047250,0.00000000
3047310,0.00000000
3047350,0.00000000
