General Imports|Monthly data for 2025,,,,,,,,,,,,,,,,
Data Row Count,10946,,,,,,,,,,,,,,,
Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,02031290,"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed",2025,Value for: kilograms,12604629.00,9067454.00,8429377.00,7468801.00,9217844.00,11234746.00,11113316.00,10059553.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02031920,"Meat of swine nesoi, retail cuts, fresh or chilled",2025,Value for: kilograms,3201739.00,3943902.00,4101858.00,3822654.00,3568728.00,2442631.00,3212810.00,3420097.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02031940,"Meat of swine, nesoi, non retail cuts, fresh or chilled",2025,Value for: kilograms,50763284.00,52586374.00,52154695.00,47460999.00,52761411.00,54056024.00,56215887.00,52678860.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02032100,"Carcasses and half-carcasses of swine, frozen",2025,Value for: kilograms,0.00,87726.00,3107.00,0.00,30082.00,0.00,0.00,57644.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02032210,"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in",2025,Value for: kilograms,33301.00,203930.00,99516.00,0.00,163182.00,124228.00,278180.00,96895.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02032290,"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts",2025,Value for: kilograms,2226583.00,2079187.00,1764533.00,3442364.00,2116621.00,3873930.00,4571884.00,1560531.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02032920,"Frozen retail cuts of meat of swine, nesoi",2025,Value for: kilograms,2717674.00,1305449.00,2356431.00,2542232.00,2400499.00,2839249.00,1581501.00,2517774.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02032940,"Frozen meat of swine, other than retail cuts, nesoi",2025,Value for: kilograms,51016014.00,46720993.00,59343371.00,57046648.00,50286073.00,49390930.00,55190347.00,39530430.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02041000,"Carcasses and half-carcasses of lamb, fresh or chilled",2025,Value for: kilograms,90668.00,0.00,0.00,222058.00,111314.00,99317.00,80286.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02042100,"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled",2025,Value for: kilograms,0.00,0.00,0.00,0.00,0.00,41820.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02042220,"Cuts of lamb meat with bone in, fresh or chilled",2025,Value for: kilograms,46017760.00,42283069.00,70254533.00,58623735.00,48113980.00,46932468.00,54885865.00,43900920.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02042320,"Boneless meat of lamb, fresh or chilled",2025,Value for: kilograms,16448486.00,14471093.00,22886615.00,22680657.00,15419472.00,12949074.00,16789163.00,11906073.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02043000,"Carcasses and half-carcasses of lamb, frozen",2025,Value for: kilograms,2143170.00,1537491.00,1702449.00,3263625.00,2712823.00,2951969.00,2449057.00,2485031.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02044100,"Carcasses and half-carcasses of sheep, other than lamb, frozen",2025,Value for: kilograms,2099497.00,1264529.00,2038691.00,545863.00,378408.00,698675.00,1295689.00,2326319.00,0.00,0.00,0.00,0.00
